FREQ,Frequenza,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y6-10,6-10 anni,2024,5.4,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y11-14,11-14 anni,2024,22.1,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y15-17,15-17 anni,2024,41.2,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y18-19,18-19 anni,2024,61.1,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y20-24,20-24 anni,2024,66.4,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y25-34,25-34 anni,2024,71.7,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y35-44,35-44 anni,2024,70.5,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y45-54,45-54 anni,2024,68.2,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y55-59,55-59 anni,2024,65.4,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y60-64,60-64 anni,2024,58.7,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y65-74,65-74 anni,2024,54.3,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y_GE75,75 anni e più,2024,41.4,,
A,Annuale,FINDGOOD,Cercare informazioni su merci e servizi,9,Totale,Y_GE6,6 anni e più,2024,58.8,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y6-10,6-10 anni,2024,1.6,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y11-14,11-14 anni,2024,8.1,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y15-17,15-17 anni,2024,29.6,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y18-19,18-19 anni,2024,43.1,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y20-24,20-24 anni,2024,55.4,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y25-34,25-34 anni,2024,64.9,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y35-44,35-44 anni,2024,65.4,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y45-54,45-54 anni,2024,65.8,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y55-59,55-59 anni,2024,65.9,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y60-64,60-64 anni,2024,62.5,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y65-74,65-74 anni,2024,61.5,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y_GE75,75 anni e più,2024,54.4,,
A,Annuale,FINDHEALT,Cercare informazioni sanitarie,9,Totale,Y_GE6,6 anni e più,2024,56.2,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y6-10,6-10 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y11-14,11-14 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y15-17,15-17 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y18-19,18-19 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y20-24,20-24 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y25-34,25-34 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y35-44,35-44 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y45-54,45-54 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y55-59,55-59 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y60-64,60-64 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y65-74,65-74 anni,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y_GE75,75 anni e più,2024,0,,
A,Annuale,IUHOLS,Usare servizi relativi a viaggi o soggiorni,9,Totale,Y_GE6,6 anni e più,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y6-10,6-10 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y11-14,11-14 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y15-17,15-17 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y18-19,18-19 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y20-24,20-24 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y25-34,25-34 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y35-44,35-44 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y45-54,45-54 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y55-59,55-59 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y60-64,60-64 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y65-74,65-74 anni,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y_GE75,75 anni e più,2024,0,,
A,Annuale,CONWIKI,Consultare un wiki (per ottenere informazioni su qualsiasi argomento),9,Totale,Y_GE6,6 anni e più,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y6-10,6-10 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y11-14,11-14 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y15-17,15-17 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y18-19,18-19 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y20-24,20-24 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y25-34,25-34 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y35-44,35-44 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y45-54,45-54 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y55-59,55-59 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y60-64,60-64 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y65-74,65-74 anni,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y_GE75,75 anni e più,2024,0,,
A,Annuale,READNEWS_EX,'Leggere o scaricare giornali, informazioni, riviste  online',9,Totale,Y_GE6,6 anni e più,2024,0,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y6-10,6-10 anni,2024,4.9,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y11-14,11-14 anni,2024,20.1,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y15-17,15-17 anni,2024,38.2,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y18-19,18-19 anni,2024,52.6,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y20-24,20-24 anni,2024,60.4,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y25-34,25-34 anni,2024,67.8,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y35-44,35-44 anni,2024,65.6,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y45-54,45-54 anni,2024,64.1,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y55-59,55-59 anni,2024,61.3,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y60-64,60-64 anni,2024,57.4,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y65-74,65-74 anni,2024,56,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y_GE75,75 anni e più,2024,51.1,,
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y_GE6,6 anni e più,2024,56.3,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y6-10,6-10 anni,2024,6.6,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y11-14,11-14 anni,2024,43.3,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y15-17,15-17 anni,2024,73.6,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y18-19,18-19 anni,2024,86.2,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y20-24,20-24 anni,2024,89.7,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y25-34,25-34 anni,2024,91,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y35-44,35-44 anni,2024,88.4,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y45-54,45-54 anni,2024,84.5,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y55-59,55-59 anni,2024,79.4,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y60-64,60-64 anni,2024,74.2,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y65-74,65-74 anni,2024,66.9,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y_GE75,75 anni e più,2024,53.4,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y_GE6,6 anni e più,2024,75.7,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y6-10,6-10 anni,2024,12.4,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y11-14,11-14 anni,2024,57.1,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y15-17,15-17 anni,2024,81.2,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y18-19,18-19 anni,2024,86,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y20-24,20-24 anni,2024,83.6,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y25-34,25-34 anni,2024,78.9,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y35-44,35-44 anni,2024,71.9,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y45-54,45-54 anni,2024,61.5,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y55-59,55-59 anni,2024,50.3,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y60-64,60-64 anni,2024,43.5,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y65-74,65-74 anni,2024,35.7,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y_GE75,75 anni e più,2024,25.5,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y_GE6,6 anni e più,2024,58.5,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y6-10,6-10 anni,2024,6.6,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y11-14,11-14 anni,2024,16.6,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y15-17,15-17 anni,2024,27.3,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y18-19,18-19 anni,2024,32.2,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y20-24,20-24 anni,2024,35.1,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y25-34,25-34 anni,2024,33,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y35-44,35-44 anni,2024,30.3,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y45-54,45-54 anni,2024,24.9,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y55-59,55-59 anni,2024,20.5,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y60-64,60-64 anni,2024,16.9,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y65-74,65-74 anni,2024,16.3,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y_GE75,75 anni e più,2024,11.1,,
